recordedAt	feature	step	candidate	verdict	source	endpoint	note
2026-07-27T07:49:01.689953Z	CLUSTER_CAST	observe	observe.dumpsys	SKIPPED	MEASURED	localhost:5555	test
2026-07-27T12:21:05.722361Z	CLUSTER_CAST	observe	observe.dumpsys	OK	MEASURED	localhost:5555	
2026-07-27T12:21:06.451733Z	CLUSTER_CAST	probe-profile	probe.services-and-display	OK	MEASURED	localhost:5555	
2026-07-27T12:21:07.173326Z	CLUSTER_CAST	teardown	teardown.18-then-0	OK	HUMAN	localhost:5555	
2026-07-27T12:21:07.539131Z	CLUSTER_CAST	open-projection	open.seal-30-16-35	OK	HUMAN	localhost:5555	
2026-07-27T12:21:21.671243Z	CLUSTER_CAST	place	place.freeform-then-resize	OK	MEASURED	localhost:5555	
2026-07-27T12:21:22.035794Z	CLUSTER_CAST	capture-state	capture.full-surface-flinger	OK	MEASURED	localhost:5555	
2026-07-27T12:21:22.389921Z	CLUSTER_CAST	place	place.movestack	FAIL	MEASURED	localhost:5555	
2026-07-27T12:23:43.418405Z	CLUSTER_CAST	observe	observe.dumpsys	OK	MEASURED	localhost:5555	
2026-07-27T12:33:16.930786Z	CLUSTER_CAST	teardown	teardown.18-then-0	OK	HUMAN	localhost:5555	Parcel(0,0);
2026-07-27T12:33:17.273157Z	CLUSTER_CAST	open-projection	open.seal-30-16-35	OK	HUMAN	localhost:5555	Parcel(0,0);
2026-07-27T12:34:20.433912Z	CLUSTER_CAST	teardown	teardown.18-then-0	OK	HUMAN	localhost:5555	người xác nhận gauges trở lại là ở phiên SÁNG 27/7, không phải phiên chiều
2026-07-27T12:35:10.798983Z	CLUSTER_CAST	open-projection	open.seal-30-16-35	OK	HUMAN	localhost:5555	người xác nhận cụm hiện app là ở phiên SÁNG 27/7, không phải phiên chiều
2026-07-27T12:45:57.215364Z	CLUSTER_CAST	open-projection	open.seal-30-16-35	OK	HUMAN	localhost:5555	chủ xe nhìn cụm xác nhận: vietmap lên ok (19:38, task đã đặt sẵn)
2026-07-27T12:45:57.666496Z	CLUSTER_CAST	teardown	teardown.18-then-0	OK	HUMAN	localhost:5555	chủ xe nhìn cụm xác nhận: về đồng hồ (19:40) NHUNG task 40 con tren display 1 nen app mo coi
2026-07-27T12:45:58.146455Z	CLUSTER_CAST	place	place.freeform-then-resize	OK	MEASURED	localhost:5555	task 40 len cum 1920x720, chu xe thay map
